2026-03-19 00:22:59,293 [canton-env-ec-51] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::1220d820aad4 - The sequencer subscription has been terminated by the server.
2026-03-19 00:22:59,325 [canton-env-ec-53] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::1220d820aad4 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-03-19 00:22:59,326 [canton-env-ec-49] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2026-03-19 00:22:59,326 [canton-env-ec-102] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-03-19 00:22:59,327 [canton-env-ec-101] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2026-03-19 00:22:59,327 [canton-env-ec-53] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-03-19 00:22:59,330 [canton-env-ec-51] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::1220d820aad4... authenticated new token with expiry 2026-03-18T19:52:59.329966Z
2026-03-19 00:22:59,330 [canton-env-ec-48] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::1220d820aad4... authenticated new token with expiry 2026-03-18T19:52:59.329969Z
2026-03-19 00:22:59,384 [canton-env-ec-101] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::1220d820aad4... subscribes from counter=110
2026-03-19 00:22:59,387 [canton-env-ec-46] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::12200c904c53... subscribes from counter=152
2026-03-19 00:22:59,387 [canton-env-ec-49] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::1220d820aad4... subscribes from counter=66
2026-03-19 00:22:59,900 [daml.index.db.connection.indexer housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - daml.index.db.connection.indexer - Thread starvation or clock leap detected (housekeeper delta=51m23s718ms).
2026-03-19 00:22:59,900 [daml.index.db.connection.api-server housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - daml.index.db.connection.api-server - Thread starvation or clock leap detected (housekeeper delta=51m23s718ms).
2026-03-19 00:31:05,200 [canton-env-ec-101] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::12200c904c53... authenticated new token with expiry 2026-03-18T20:01:05.200281Z
2026-03-19 00:31:05,200 [canton-env-ec-108] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::12200c904c53... authenticated new token with expiry 2026-03-18T20:01:05.200301Z
2026-03-19 00:31:05,200 [canton-env-ec-42] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::12200c904c53... authenticated new token with expiry 2026-03-18T20:01:05.200658Z
2026-03-19 00:31:30,726 [daml.index.db.connection.api-server housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - daml.index.db.connection.api-server - Thread starvation or clock leap detected (housekeeper delta=8m30s826ms).
2026-03-19 00:31:30,726 [daml.index.db.connection.indexer housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - daml.index.db.connection.indexer - Thread starvation or clock leap detected (housekeeper delta=8m30s826ms).
2026-03-19 00:34:37,304 [canton-env-ec-46] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::1220d820aad4 - The sequencer subscription has been terminated by the server.
2026-03-19 00:34:37,306 [canton-env-ec-96] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::1220d820aad4 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-03-19 00:34:37,373 [canton-env-ec-46] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::12200c904c53... subscribes from counter=152
2026-03-19 00:34:37,903 [daml.index.db.connection.indexer housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - daml.index.db.connection.indexer - Thread starvation or clock leap detected (housekeeper delta=3m7s177ms).
2026-03-19 00:34:37,903 [daml.index.db.connection.api-server housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - daml.index.db.connection.api-server - Thread starvation or clock leap detected (housekeeper delta=3m7s177ms).
2026-03-19 00:35:00,958 [daml.index.db.threadpool.connection.indexer-3] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(00000000000000002f)),2026-03-18T16:00:00Z)
2026-03-19 00:35:00,960 [daml.index.db.threadpool.connection.indexer-3] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(00000000000000002f)),2026-03-18T16:00:00Z)
2026-03-19 00:35:00,961 [daml.index.db.threadpool.connection.indexer-6] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(00000000000000002f)),2026-03-18T17:00:00Z)
2026-03-19 00:35:00,961 [daml.index.db.threadpool.connection.indexer-6] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(00000000000000002f)),2026-03-18T17:00:00Z)
2026-03-19 00:35:00,961 [daml.index.db.threadpool.connection.indexer-6] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(00000000000000002f)),2026-03-18T18:00:00Z)
2026-03-19 00:35:00,961 [daml.index.db.threadpool.connection.indexer-6] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(00000000000000002f)),2026-03-18T18:00:00Z)
2026-03-19 00:35:00,962 [daml.index.db.threadpool.connection.indexer-6] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(00000000000000002f)),2026-03-18T19:00:00Z)
